"SitRecID","kba","ovl","year","random","nPAs","DOMAIN","range_countries","RangeName","COUNTRY","percPA"
15204,307331727.851249,6402432.83255483,1999,FALSE,2,"11400","NPL;BTN;PAK;IND;CHN","Himalaya","BTN",0.0208323197781053
15205,6615489.72777343,2585423.7975781,2014,FALSE,1,"11400","NPL;BTN;PAK;IND;CHN","Himalaya","BTN",0.390813666707676
15206,119612475.508682,81474310.5479871,2008,FALSE,1,"11400","NPL;BTN;PAK;IND;CHN","Himalaya","BTN",0.681152281160448
15207,365402304.778862,657558.210161263,1974,FALSE,1,"11400","NPL;BTN;PAK;IND;CHN","Himalaya","BTN",0.00179954587467425
15207,365402304.778862,1546697.67552015,1993,FALSE,1,"11400","NPL;BTN;PAK;IND;CHN","Himalaya","BTN",0.00423286239657464
15207,365402304.778862,28734429.0066061,1999,FALSE,2,"11400","NPL;BTN;PAK;IND;CHN","Himalaya","BTN",0.0786377880785286
15208,390183801.555057,72052.7092807405,1974,FALSE,1,"11400","NPL;BTN;PAK;IND;CHN","Himalaya","BTN",0.00018466350728446
15208,390183801.555057,760421.591043472,1980,FALSE,1,"11400","NPL;BTN;PAK;IND;CHN","Himalaya","BTN",0.00194888047123651
15208,390183801.555057,115165194.796396,1999,FALSE,1,"11400","NPL;BTN;PAK;IND;CHN","Himalaya","BTN",0.295156268244378
15209,43522028.9398518,0,0,FALSE,0,"11400","NPL;BTN;PAK;IND;CHN","Himalaya","BTN",0
15210,139411995.704929,0,0,FALSE,0,"11400","NPL;BTN;PAK;IND;CHN","Himalaya","BTN",0
15211,11326756.2556882,0,0,FALSE,0,"11400","NPL;BTN;PAK;IND;CHN","Himalaya","BTN",0
15212,353379238.875298,43821551.4623286,1993,FALSE,1,"11400","NPL;BTN;PAK;IND;CHN","Himalaya","BTN",0.124007147680208
15212,353379238.875298,31614937.8321283,1999,FALSE,1,"11400","NPL;BTN;PAK;IND;CHN","Himalaya","BTN",0.0894646157843042
15213,18753059.6258631,400519.993738085,1999,FALSE,1,"11400","NPL;BTN;PAK;IND;CHN","Himalaya","BTN",0.0213575812016143
15214,23618979.5459604,0,0,FALSE,0,"11400","NPL;BTN;PAK;IND;CHN","Himalaya","BTN",0
15215,596209736.220047,1017978.97608757,1993,FALSE,1,"11400","NPL;BTN;PAK;IND;CHN","Himalaya","BTN",0.00170741756506951
15216,636968794.377351,9203276.88102708,1966,FALSE,1,"11400","NPL;BTN;PAK;IND;CHN","Himalaya","BTN",0.0144485522089406
15216,636968794.377351,21166769.3865653,1974,FALSE,1,"11400","NPL;BTN;PAK;IND;CHN","Himalaya","BTN",0.0332304652494887
15216,636968794.377351,352980928.917877,1999,FALSE,1,"11400","NPL;BTN;PAK;IND;CHN","Himalaya","BTN",0.554157333975713
15217,16146289.7286921,0,0,FALSE,0,"11400","NPL;BTN;PAK;IND;CHN","Himalaya","BTN",0
15218,35383425.1920357,0,0,FALSE,0,"11400","NPL;BTN;PAK;IND;CHN","Himalaya","BTN",0
15219,15592631.393785,0,0,FALSE,0,"11400","NPL;BTN;PAK;IND;CHN","Himalaya","BTN",0
16396,146326331.353899,54723686.81005,1982,FALSE,1,"11400","NPL;BTN;PAK;IND;CHN","Himalaya","PAK",0.37398386403673
16397,233807360.35086,0,0,FALSE,0,"11400","NPL;BTN;PAK;IND;CHN","Himalaya","PAK",0
16405,187869852.992836,45592380.1627756,1980,FALSE,1,"11400","NPL;BTN;PAK;IND;CHN","Himalaya","PAK",0.242680661300747
16406,238295621.39699,238295331.083319,1975,FALSE,1,"11400","NPL;BTN;PAK;IND;CHN","Himalaya","PAK",0.99999878170791
16408,2419493329.5245,66318678.2478154,1975,FALSE,2,"11400","NPL;BTN;PAK;IND;CHN","Himalaya","PAK",0.027410151306699
16409,764496599.8586,764489128.067391,1962,TRUE,1,"11400","NPL;BTN;PAK;IND;CHN","Himalaya","PAK",0.999990226521334
