"SitRecID","kba","ovl","year","random","nPAs","DOMAIN","range_countries","RangeName","COUNTRY","percPA"
23122,88470965.1992956,0,0,FALSE,0,"13071","VNM;CHN","Yunnan-Guizhou Plateau","CHN",0
23127,47395815.5193233,0,0,FALSE,0,"13071","VNM;CHN","Yunnan-Guizhou Plateau","CHN",0
23296,153169234.961123,0,0,FALSE,0,"13071","VNM;CHN","Yunnan-Guizhou Plateau","CHN",0
15548,156463149.845024,0,0,FALSE,0,"13071","VNM;CHN","Yunnan-Guizhou Plateau","CHN",0
23117,364930660.168774,0,0,FALSE,0,"13071","VNM;CHN","Yunnan-Guizhou Plateau","CHN",0
23270,168569132.431224,0,0,FALSE,0,"13071","VNM;CHN","Yunnan-Guizhou Plateau","CHN",0
15544,191323033.304582,0,0,FALSE,0,"13071","VNM;CHN","Yunnan-Guizhou Plateau","CHN",0
23239,909468559.76167,0,0,FALSE,0,"13071","VNM;CHN","Yunnan-Guizhou Plateau","CHN",0
15542,36652048.5787916,0,0,FALSE,0,"13071","VNM;CHN","Yunnan-Guizhou Plateau","CHN",0
15540,91646531.9634972,0,0,FALSE,0,"13071","VNM;CHN","Yunnan-Guizhou Plateau","CHN",0
15547,541733551.132241,0,0,FALSE,0,"13071","VNM;CHN","Yunnan-Guizhou Plateau","CHN",0
27192,87126795.1431279,0,0,FALSE,0,"13071","VNM;CHN","Yunnan-Guizhou Plateau","CHN",0
26516,523232747.519717,0,0,FALSE,0,"13071","VNM;CHN","Yunnan-Guizhou Plateau","CHN",0
21881,106261185.140255,41202315.8081024,2000,FALSE,1,"13071","VNM;CHN","Yunnan-Guizhou Plateau","VNM",0.387745682995339
15583,40100734.3015786,0,0,FALSE,0,"13071","VNM;CHN","Yunnan-Guizhou Plateau","CHN",0
15760,2150801481.80273,0,0,FALSE,0,"13071","VNM;CHN","Yunnan-Guizhou Plateau","CHN",0
15538,290519124.706377,13677866.7377224,1982,FALSE,1,"13071","VNM;CHN","Yunnan-Guizhou Plateau","CHN",0.0470807791106572
15538,290519124.706377,160359133.822372,1996,FALSE,1,"13071","VNM;CHN","Yunnan-Guizhou Plateau","CHN",0.551974449132893
15581,347303030.080518,220398754.100091,2018,FALSE,1,"13071","VNM;CHN","Yunnan-Guizhou Plateau","CHN",0.634600723319327
47108,859162456.490745,0,0,FALSE,0,"13071","VNM;CHN","Yunnan-Guizhou Plateau","CHN",0
15586,428312927.679784,0,0,FALSE,0,"13071","VNM;CHN","Yunnan-Guizhou Plateau","CHN",0
25085,32433141.171792,0,0,FALSE,0,"13071","VNM;CHN","Yunnan-Guizhou Plateau","CHN",0
23283,319222920.222519,0,0,FALSE,0,"13071","VNM;CHN","Yunnan-Guizhou Plateau","CHN",0
29769,29507913.7143295,0,0,FALSE,0,"13071","VNM;CHN","Yunnan-Guizhou Plateau","CHN",0
23133,105078594.374613,0,0,FALSE,0,"13071","VNM;CHN","Yunnan-Guizhou Plateau","CHN",0
47117,55016180.8059403,0,0,FALSE,0,"13071","VNM;CHN","Yunnan-Guizhou Plateau","CHN",0
29810,326719524.043133,0,0,FALSE,0,"13071","VNM;CHN","Yunnan-Guizhou Plateau","CHN",0
22643,48219820.0404444,14604369.8978072,2006,FALSE,1,"13071","VNM;CHN","Yunnan-Guizhou Plateau","VNM",0.302870684410638
31508,40798607.2262047,0,0,FALSE,0,"13071","VNM;CHN","Yunnan-Guizhou Plateau","CHN",0
