"SitRecID","kba","ovl","year","random","nPAs","DOMAIN","range_countries","RangeName","COUNTRY","percPA"
27414,543529844.925182,292388256.116565,1948,FALSE,1,"12174","AFG;KAZ;UZB;KGZ;CHN;TKM;TJK","Tian Shan","KGZ",0.537943332544715
27414,543529844.925182,2284151.59790108,1976,FALSE,1,"12174","AFG;KAZ;UZB;KGZ;CHN;TKM;TJK","Tian Shan","KGZ",0.00420244006695804
27415,752468089.197201,421725546.644101,1948,FALSE,1,"12174","AFG;KAZ;UZB;KGZ;CHN;TKM;TJK","Tian Shan","KGZ",0.560456387052952
27415,752468089.197201,13520577.9677552,1976,FALSE,1,"12174","AFG;KAZ;UZB;KGZ;CHN;TKM;TJK","Tian Shan","KGZ",0.0179683074430175
20637,1683639248.50671,0,0,FALSE,0,"12174","AFG;KAZ;UZB;KGZ;CHN;TKM;TJK","Tian Shan","KAZ",0
19948,1136601298.49642,3389432.19835043,1964,FALSE,1,"12174","AFG;KAZ;UZB;KGZ;CHN;TKM;TJK","Tian Shan","KAZ",0.00298207665505417
19948,1136601298.49642,1938314.07673907,1996,FALSE,1,"12174","AFG;KAZ;UZB;KGZ;CHN;TKM;TJK","Tian Shan","KAZ",0.00170535972403271
19949,1217634622.07236,724125268.079796,1926,FALSE,1,"12174","AFG;KAZ;UZB;KGZ;CHN;TKM;TJK","Tian Shan","KAZ",0.594698323251821
19949,1217634622.07236,6929612.07618142,1975,FALSE,1,"12174","AFG;KAZ;UZB;KGZ;CHN;TKM;TJK","Tian Shan","KAZ",0.00569104388998691
19949,1217634622.07236,1222710.61504835,1990,FALSE,1,"12174","AFG;KAZ;UZB;KGZ;CHN;TKM;TJK","Tian Shan","KAZ",0.00100416873246209
19949,1217634622.07236,104715941.592913,2016,FALSE,1,"12174","AFG;KAZ;UZB;KGZ;CHN;TKM;TJK","Tian Shan","KAZ",0.0859994777535901
21861,1194149457.84854,0,0,FALSE,0,"12174","AFG;KAZ;UZB;KGZ;CHN;TKM;TJK","Tian Shan","TJK",0
21868,219162938.494207,96228952.2739496,1969,FALSE,1,"12174","AFG;KAZ;UZB;KGZ;CHN;TKM;TJK","Tian Shan","TJK",0.439074931806927
20684,1525820787.1662,223118405.083829,1926,FALSE,1,"12174","AFG;KAZ;UZB;KGZ;CHN;TKM;TJK","Tian Shan","UZB",0.146228447639785
20684,1525820787.1662,258903889.054433,1976,FALSE,1,"12174","AFG;KAZ;UZB;KGZ;CHN;TKM;TJK","Tian Shan","UZB",0.169681715724477
46957,1981777936.5784,150062244.499513,1986,FALSE,1,"12174","AFG;KAZ;UZB;KGZ;CHN;TKM;TJK","Tian Shan","UZB",0.075721018853707
8000,564950559.531759,1104333.29856873,1972,FALSE,1,"12174","AFG;KAZ;UZB;KGZ;CHN;TKM;TJK","Tian Shan","AFG",0.00195474326016071
27418,116507376.305319,0,0,FALSE,0,"12174","AFG;KAZ;UZB;KGZ;CHN;TKM;TJK","Tian Shan","KGZ",0
15440,587767376.623614,0,0,FALSE,0,"12174","AFG;KAZ;UZB;KGZ;CHN;TKM;TJK","Tian Shan","CHN",0
15453,670499834.260712,0,0,FALSE,0,"12174","AFG;KAZ;UZB;KGZ;CHN;TKM;TJK","Tian Shan","CHN",0
19956,101612804.859269,30607.2799944282,1926,FALSE,1,"12174","AFG;KAZ;UZB;KGZ;CHN;TKM;TJK","Tian Shan","KAZ",0.000301214793123943
19956,101612804.859269,136254.222898796,2016,FALSE,1,"12174","AFG;KAZ;UZB;KGZ;CHN;TKM;TJK","Tian Shan","KAZ",0.00134091587263539
21994,98185044.1072684,0,0,FALSE,0,"12174","AFG;KAZ;UZB;KGZ;CHN;TKM;TJK","Tian Shan","TJK",0
20601,46315669.6778049,0,0,FALSE,0,"12174","AFG;KAZ;UZB;KGZ;CHN;TKM;TJK","Tian Shan","KAZ",0
21981,474425278.512967,90463638.1406517,1977,FALSE,1,"12174","AFG;KAZ;UZB;KGZ;CHN;TKM;TJK","Tian Shan","TJK",0.19068047643709
21983,267871167.589465,0,0,FALSE,0,"12174","AFG;KAZ;UZB;KGZ;CHN;TKM;TJK","Tian Shan","TJK",0
