"SitRecID","kba","ovl","year","random","nPAs","DOMAIN","range_countries","RangeName","COUNTRY","percPA"
994,1348971860.81039,462278.580361803,2002,FALSE,1,"15148","BGR;TUR;GRC;MKD;SRB","Rila-Rhodope Massif","GRC",0.000342689565135992
994,1348971860.81039,215998243.486455,2005,FALSE,2,"15148","BGR;TUR;GRC;MKD;SRB","Rila-Rhodope Massif","GRC",0.160120644293273
994,1348971860.81039,157080040.377813,2006,FALSE,4,"15148","BGR;TUR;GRC;MKD;SRB","Rila-Rhodope Massif","GRC",0.116444267624269
994,1348971860.81039,2225232.77620028,2007,FALSE,3,"15148","BGR;TUR;GRC;MKD;SRB","Rila-Rhodope Massif","GRC",0.00164957686727688
994,1348971860.81039,1963237.3260824,2008,FALSE,3,"15148","BGR;TUR;GRC;MKD;SRB","Rila-Rhodope Massif","GRC",0.00145535824958053
994,1348971860.81039,842984779.838129,2009,FALSE,8,"15148","BGR;TUR;GRC;MKD;SRB","Rila-Rhodope Massif","GRC",0.624909091381422
994,1348971860.81039,199765.141225593,2010,FALSE,1,"15148","BGR;TUR;GRC;MKD;SRB","Rila-Rhodope Massif","GRC",0.000148086959431151
1138,95855017.665917,7666.99651758,2001,FALSE,1,"15148","BGR;TUR;GRC;MKD;SRB","Rila-Rhodope Massif","GRC",7.99853435351892e-05
1138,95855017.665917,92783904.1301379,2010,FALSE,1,"15148","BGR;TUR;GRC;MKD;SRB","Rila-Rhodope Massif","GRC",0.967960847428115
1149,189040488.767059,4551109.44456029,1990,FALSE,1,"15148","BGR;TUR;GRC;MKD;SRB","Rila-Rhodope Massif","GRC",0.0240747866990986
1149,189040488.767059,174123963.309714,2002,FALSE,1,"15148","BGR;TUR;GRC;MKD;SRB","Rila-Rhodope Massif","GRC",0.921093488730207
1149,189040488.767059,111757.205391835,2007,FALSE,1,"15148","BGR;TUR;GRC;MKD;SRB","Rila-Rhodope Massif","GRC",0.000591181318461072
1149,189040488.767059,1115796.18895116,2008,FALSE,2,"15148","BGR;TUR;GRC;MKD;SRB","Rila-Rhodope Massif","GRC",0.00590241908613598
1162,489246560.505201,79848.0160553157,1984,FALSE,1,"15148","BGR;TUR;GRC;MKD;SRB","Rila-Rhodope Massif","GRC",0.000163206085644964
1162,489246560.505201,1716043.96011165,1986,FALSE,1,"15148","BGR;TUR;GRC;MKD;SRB","Rila-Rhodope Massif","GRC",0.00350752381036597
1162,489246560.505201,17643322.6737363,1987,FALSE,1,"15148","BGR;TUR;GRC;MKD;SRB","Rila-Rhodope Massif","GRC",0.0360622313941618
1162,489246560.505201,128430.43926351,1998,FALSE,1,"15148","BGR;TUR;GRC;MKD;SRB","Rila-Rhodope Massif","GRC",0.000262506575684235
1162,489246560.505201,87907869.6646301,2001,FALSE,2,"15148","BGR;TUR;GRC;MKD;SRB","Rila-Rhodope Massif","GRC",0.17968009744178
1162,489246560.505201,353586.299626404,2002,FALSE,1,"15148","BGR;TUR;GRC;MKD;SRB","Rila-Rhodope Massif","GRC",0.000722715964035163
1162,489246560.505201,35360125.7849332,2006,FALSE,4,"15148","BGR;TUR;GRC;MKD;SRB","Rila-Rhodope Massif","GRC",0.0722746538032277
1162,489246560.505201,679335.045261189,2007,FALSE,1,"15148","BGR;TUR;GRC;MKD;SRB","Rila-Rhodope Massif","GRC",0.00138853310396235
1162,489246560.505201,344173773.318755,2008,FALSE,2,"15148","BGR;TUR;GRC;MKD;SRB","Rila-Rhodope Massif","GRC",0.703477144455257
9026,126946353.415887,0,0,FALSE,0,"15148","BGR;TUR;GRC;MKD;SRB","Rila-Rhodope Massif","MKD",0
9592,1322676673.74309,0,0,FALSE,0,"15148","BGR;TUR;GRC;MKD;SRB","Rila-Rhodope Massif","TUR",0
18977,1437303838.31487,14847551.6074797,1933,FALSE,1,"15148","BGR;TUR;GRC;MKD;SRB","Rila-Rhodope Massif","BGR",0.0103301412072254
18977,1437303838.31487,4616.98179908283,1965,FALSE,1,"15148","BGR;TUR;GRC;MKD;SRB","Rila-Rhodope Massif","BGR",3.21225177029784e-06
18977,1437303838.31487,832914.78962562,1968,FALSE,1,"15148","BGR;TUR;GRC;MKD;SRB","Rila-Rhodope Massif","BGR",0.000579498062568419
18977,1437303838.31487,11828.8696306078,1974,FALSE,1,"15148","BGR;TUR;GRC;MKD;SRB","Rila-Rhodope Massif","BGR",8.2299019283746e-06
18977,1437303838.31487,22639687.3920878,1985,FALSE,1,"15148","BGR;TUR;GRC;MKD;SRB","Rila-Rhodope Massif","BGR",0.0157514972050941
18977,1437303838.31487,36720150.1594124,1986,FALSE,2,"15148","BGR;TUR;GRC;MKD;SRB","Rila-Rhodope Massif","BGR",0.0255479385642384
18977,1437303838.31487,246278526.741307,1987,FALSE,1,"15148","BGR;TUR;GRC;MKD;SRB","Rila-Rhodope Massif","BGR",0.171347574657596
18977,1437303838.31487,956406287.999244,1992,FALSE,3,"15148","BGR;TUR;GRC;MKD;SRB","Rila-Rhodope Massif","BGR",0.665416916384609
18977,1437303838.31487,131649.699335192,2007,FALSE,1,"15148","BGR;TUR;GRC;MKD;SRB","Rila-Rhodope Massif","BGR",9.1594898605114e-05
18977,1437303838.31487,43730.5422279148,2008,FALSE,2,"15148","BGR;TUR;GRC;MKD;SRB","Rila-Rhodope Massif","BGR",3.04253986263514e-05
18977,1437303838.31487,4.88236546516418e-05,2011,FALSE,1,"15148","BGR;TUR;GRC;MKD;SRB","Rila-Rhodope Massif","BGR",3.39689169054776e-14
18977,1437303838.31487,NA,2019,FALSE,1,"15148","BGR;TUR;GRC;MKD;SRB","Rila-Rhodope Massif","BGR",NA
18978,792361812.227768,28417844.7138979,1934,FALSE,1,"15148","BGR;TUR;GRC;MKD;SRB","Rila-Rhodope Massif","BGR",0.0358647328472326
18978,792361812.227768,374030711.296701,1962,FALSE,1,"15148","BGR;TUR;GRC;MKD;SRB","Rila-Rhodope Massif","BGR",0.472045352924182
18978,792361812.227768,1059.61115285754,1965,FALSE,1,"15148","BGR;TUR;GRC;MKD;SRB","Rila-Rhodope Massif","BGR",1.3372819544122e-06
18978,792361812.227768,407.927154734731,1976,FALSE,1,"15148","BGR;TUR;GRC;MKD;SRB","Rila-Rhodope Massif","BGR",5.14824349734652e-07
18978,792361812.227768,401922.997436423,1983,FALSE,1,"15148","BGR;TUR;GRC;MKD;SRB","Rila-Rhodope Massif","BGR",0.000507246804722195
18978,792361812.227768,12502356.7714306,1985,FALSE,2,"15148","BGR;TUR;GRC;MKD;SRB","Rila-Rhodope Massif","BGR",0.0157785958112741
18978,792361812.227768,22469.4938264787,1989,FALSE,1,"15148","BGR;TUR;GRC;MKD;SRB","Rila-Rhodope Massif","BGR",2.83576182997822e-05
18978,792361812.227768,NA,1994,FALSE,1,"15148","BGR;TUR;GRC;MKD;SRB","Rila-Rhodope Massif","BGR",NA
18978,792361812.227768,8374.01141509412,2007,FALSE,1,"15148","BGR;TUR;GRC;MKD;SRB","Rila-Rhodope Massif","BGR",1.05684187272354e-05
18978,792361812.227768,306254485.741072,2008,FALSE,5,"15148","BGR;TUR;GRC;MKD;SRB","Rila-Rhodope Massif","BGR",0.386508386717958
18978,792361812.227768,3864722.21792818,2011,FALSE,1,"15148","BGR;TUR;GRC;MKD;SRB","Rila-Rhodope Massif","BGR",0.00487747157710984
