"SitRecID","kba","ovl","year","random","nPAs","DOMAIN","range_countries","RangeName","COUNTRY","multiple_ranges","all_gmba_intersec","mountain","terrestrial","marine","freshwater","original_area","kba_note","error_note","percPA"
46609,303778052.494438,18776.0928910864,1983,TRUE,1,"14099","PSE;ISR;JOR","Judaean Mountains","PSE",FALSE,"14099",1,1,0,0,303778052.494854,NA,"",6.18085893200931e-05
46609,303778052.494438,377448.520639658,1991,TRUE,1,"14099","PSE;ISR;JOR","Judaean Mountains","PSE",FALSE,"14099",1,1,0,0,303778052.494854,NA,"",0.00124251412351973
46609,303778052.494438,21804581.9854591,2000,TRUE,1,"14099","PSE;ISR;JOR","Judaean Mountains","PSE",FALSE,"14099",1,1,0,0,303778052.494854,NA,"",0.071778003073011
46609,303778052.494438,1149955.54109097,2005,TRUE,2,"14099","PSE;ISR;JOR","Judaean Mountains","PSE",FALSE,"14099",1,1,0,0,303778052.494854,NA,"",0.00378551225688705
46610,156092203.525532,16270362.0513179,1966,TRUE,1,"14099","PSE;ISR;JOR","Judaean Mountains","PSE",FALSE,"14099",1,1,0,0,156092203.525829,NA,"",0.1042355843779
46610,156092203.525532,13318338.7557411,1968,TRUE,1,"14099","PSE;ISR;JOR","Judaean Mountains","PSE",FALSE,"14099",1,1,0,0,156092203.525829,NA,"",0.0853235360570887
46610,156092203.525532,43606.7383979013,1977,TRUE,1,"14099","PSE;ISR;JOR","Judaean Mountains","PSE",FALSE,"14099",1,1,0,0,156092203.525829,NA,"",0.000279365256002479
46610,156092203.525532,13981.5990987808,2018,TRUE,1,"14099","PSE;ISR;JOR","Judaean Mountains","PSE",FALSE,"14099",1,1,0,0,156092203.525829,NA,"",8.95726934657169e-05
46605,134947046.536877,719975.482564464,1969,TRUE,1,"14099","PSE;ISR;JOR","Judaean Mountains","PSE",FALSE,"14099",1,1,0,0,134947046.536595,NA,"",0.00533524446100208
46605,134947046.536877,12365748.596876,1971,TRUE,1,"14099","PSE;ISR;JOR","Judaean Mountains","PSE",FALSE,"14099",1,1,0,0,134947046.536595,NA,"",0.0916340810281963
46605,134947046.536877,27928461.6606985,1982,TRUE,1,"14099","PSE;ISR;JOR","Judaean Mountains","PSE",FALSE,"14099",1,1,0,0,134947046.536595,NA,"",0.206958672882599
46605,134947046.536877,20662609.410661,1990,TRUE,1,"14099","PSE;ISR;JOR","Judaean Mountains","PSE",FALSE,"14099",1,1,0,0,134947046.536595,NA,"",0.153116425597462
46605,134947046.536877,2864689.91590205,2009,TRUE,1,"14099","PSE;ISR;JOR","Judaean Mountains","PSE",FALSE,"14099",1,1,0,0,134947046.536595,NA,"",0.0212282520397304
9638,51657718.1298279,251384.906186141,1965,FALSE,1,"14099","PSE;ISR;JOR","Judaean Mountains","PSE",FALSE,"14099",1,1,0,0,51657718.1298893,NA,"",0.00486635715411108
9638,51657718.1298279,748388.145357666,1974,FALSE,1,"14099","PSE;ISR;JOR","Judaean Mountains","PSE",FALSE,"14099",1,1,0,0,51657718.1298893,NA,"",0.0144874410340153
9638,51657718.1298279,148751.599950354,2000,FALSE,1,"14099","PSE;ISR;JOR","Judaean Mountains","PSE",FALSE,"14099",1,1,0,0,51657718.1298893,NA,"",0.00287956195774088
46606,57608120.8556523,957364.027931089,1979,TRUE,1,"14099","PSE;ISR;JOR","Judaean Mountains","PSE",FALSE,"14099",1,1,0,0,57608120.8557649,NA,"",0.0166185602604525
46606,57608120.8556523,46560.7938645147,2001,TRUE,1,"14099","PSE;ISR;JOR","Judaean Mountains","PSE",FALSE,"14099",1,1,0,0,57608120.8557649,NA,"",0.000808233165271635
46606,57608120.8556523,659108.303741548,2011,TRUE,1,"14099","PSE;ISR;JOR","Judaean Mountains","PSE",FALSE,"14099",1,1,0,0,57608120.8557649,NA,"",0.0114412394286053
46608,143196301.964093,13538255.9090844,1979,TRUE,1,"14099","PSE;ISR;JOR","Judaean Mountains","PSE",FALSE,"14099",1,1,0,0,143196301.963849,NA,"",0.0945433347327584
