"SitRecID","kba","ovl","year","random","nPAs","DOMAIN","range_countries","RangeName","COUNTRY","multiple_ranges","all_gmba_intersec","in_gmba","mountain","terrestrial","note","percPA"
6955,503599857.603674,60564617.9977957,2007,FALSE,4,"99999","TUN;ASM;CYP;PSE","NA","TUN",FALSE,NA,FALSE,0,1,"",0.120263373953253
6955,503599857.603674,369150318.433375,2012,FALSE,2,"99999","TUN;ASM;CYP;PSE","NA","TUN",FALSE,NA,FALSE,0,1,"",0.733023079454266
6961,249622271.393488,238277339.056068,1948,FALSE,1,"99999","TUN;ASM;CYP;PSE","NA","TUN",FALSE,NA,FALSE,0,1,"",0.954551602010156
6961,249622271.393488,8695.74164950065,2007,FALSE,1,"99999","TUN;ASM;CYP;PSE","NA","TUN",FALSE,NA,FALSE,0,1,"",3.48356002088982e-05
29326,2100288.38474965,1540614.33857606,2012,FALSE,2,"99999","TUN;ASM;CYP;PSE","NA","TUN",FALSE,NA,FALSE,0,1,"",0.733525143386296
29259,6590424.51825455,0,0,FALSE,0,"99999","TUN;ASM;CYP;PSE","NA","TUN",NA,NA,NA,0,1,"no pas overlapping this kba",0
31716,19098845.0638432,0,0,FALSE,0,"99999","TUN;ASM;CYP;PSE","NA","TUN",NA,NA,NA,0,1,"no pas overlapping this kba",0
6954,72962463.219192,5758745.72027781,2013,FALSE,2,"99999","TUN;ASM;CYP;PSE","NA","TUN",FALSE,NA,FALSE,0,1,"",0.0789275123974026
31701,35696548.8154313,0,0,FALSE,0,"99999","TUN;ASM;CYP;PSE","NA","TUN",NA,NA,NA,0,1,"no pas overlapping this kba",0
6953,213558592.192491,76543720.062672,2007,FALSE,6,"99999","TUN;ASM;CYP;PSE","NA","TUN",FALSE,NA,FALSE,0,1,"",0.358420231547881
46652,484055245.484309,12243973.0211089,2007,FALSE,6,"99999","TUN;ASM;CYP;PSE","NA","TUN",FALSE,NA,FALSE,0,1,"",0.025294577706432
6934,18391263.6316863,10588396.6808084,2012,FALSE,2,"99999","TUN;ASM;CYP;PSE","NA","TUN",FALSE,NA,FALSE,0,1,"",0.575729699321241
6935,4166268.10722014,29245.8165301654,2012,FALSE,2,"99999","TUN;ASM;CYP;PSE","NA","TUN",FALSE,NA,FALSE,0,1,"",0.00701966742838331
6938,13003775.9972405,9376594.74142538,2012,FALSE,2,"99999","TUN;ASM;CYP;PSE","NA","TUN",FALSE,NA,FALSE,0,1,"",0.72106707647188
20519,18358570.5318513,2353176.56401532,1993,TRUE,1,"99999","TUN;ASM;CYP;PSE","NA","PSE",FALSE,NA,FALSE,0,1,"",0.128178637870125
31293,11499255.7310433,16741.9577161737,2003,FALSE,1,"18801","ASM","Tutuila","ASM",FALSE,"18801",TRUE,0,1,"",0.00145591663562862
31294,22136704.2580217,0,0,FALSE,0,"18802","ASM","Tau","ASM",NA,NA,NA,1,1,"no pas overlapping this kba",0
31334,2488902163.05491,381608.910368881,1994,FALSE,1,"18802","ASM","Tau","ASM",TRUE,"18802;18803",TRUE,NA,NA,"",0.000153324190895671
17,6337362.02126727,0,0,FALSE,0,"15061","GIB","Sierras del Ojon, de la Luna, del Niño y del Cabrito","GIB",NA,NA,NA,1,1,"no PAs in this range",0
18,171062537.507313,0,0,FALSE,0,"15061","GIB","Sierras del Ojon, de la Luna, del Niño y del Cabrito","GIB",NA,NA,NA,0,1,"no PAs in this range",0
30,21482298.9883478,11055034.5721457,2001,FALSE,1,"11651","CYP","Troödos Mountains","CYP",FALSE,"11651",TRUE,0,1,"",0.514611335506599
30,21482298.9883478,4566987.16033387,2005,FALSE,1,"11651","CYP","Troödos Mountains","CYP",FALSE,"11651",TRUE,0,1,"",0.212593035913477
30,21482298.9883478,3778.50742283353,2008,FALSE,1,"11651","CYP","Troödos Mountains","CYP",FALSE,"11651",TRUE,0,1,"",0.000175889341493805
24493,94058733.6045031,89271962.7546473,1992,FALSE,5,"11651","CYP","Troödos Mountains","CYP",FALSE,"11651",TRUE,1,1,"",0.949108704036106
24493,94058733.6045031,922732.211901867,2005,FALSE,1,"11651","CYP","Troödos Mountains","CYP",FALSE,"11651",TRUE,1,1,"",0.00981017048115659
24493,94058733.6045031,5667.17737305592,2008,FALSE,1,"11651","CYP","Troödos Mountains","CYP",FALSE,"11651",TRUE,1,1,"",6.02514743275748e-05
24493,94058733.6045031,3871922.21857553,2014,FALSE,2,"11651","CYP","Troödos Mountains","CYP",FALSE,"11651",TRUE,1,1,"",0.0411649409916164
34,95655227.1552398,0.134014157930054,2005,FALSE,1,"11651","CYP","Troödos Mountains","CYP",FALSE,"11651",TRUE,1,1,"",1.40101238495374e-09
34,95655227.1552398,21850484.6210153,2007,FALSE,3,"11651","CYP","Troödos Mountains","CYP",FALSE,"11651",TRUE,1,1,"",0.2284295931424
34,95655227.1552398,41130050.3428675,2008,FALSE,3,"11651","CYP","Troödos Mountains","CYP",FALSE,"11651",TRUE,1,1,"",0.429982255712144
34,95655227.1552398,19731302.5325863,2014,FALSE,1,"11651","CYP","Troödos Mountains","CYP",FALSE,"11651",TRUE,1,1,"",0.206275214845961
34,95655227.1552398,110.857168753002,2015,FALSE,1,"11651","CYP","Troödos Mountains","CYP",FALSE,"11651",TRUE,1,1,"",1.15892431652575e-06
34,95655227.1552398,1822.3783450687,2016,FALSE,2,"11651","CYP","Troödos Mountains","CYP",FALSE,"11651",TRUE,1,1,"",1.90515291141501e-05
34,95655227.1552398,46.914905994581,2019,FALSE,1,"11651","CYP","Troödos Mountains","CYP",FALSE,"11651",TRUE,1,1,"",4.90458361657982e-07
24488,877686.383408087,852010.248225277,2005,FALSE,1,"11651","CYP","Troödos Mountains","CYP",FALSE,"11651",TRUE,0,1,"",0.970745660787047
24488,877686.383408087,574.713742498132,2015,FALSE,1,"11651","CYP","Troödos Mountains","CYP",FALSE,"11651",TRUE,0,1,"",0.000654805353441281
31311,15573257.7965884,0.010943448057759,2005,FALSE,1,"11651","CYP","Troödos Mountains","CYP",FALSE,"11651",TRUE,1,1,"",7.02707692937338e-10
31311,15573257.7965884,15573252.430708,2008,FALSE,2,"11651","CYP","Troödos Mountains","CYP",FALSE,"11651",TRUE,1,1,"",0.999999655442654
31305,74981515.4503642,19907892.617909,2008,FALSE,2,"11651","CYP","Troödos Mountains","CYP",FALSE,"11651",TRUE,1,1,"",0.265504004531456
31305,74981515.4503642,408.968443799611,2014,FALSE,1,"11651","CYP","Troödos Mountains","CYP",FALSE,"11651",TRUE,1,1,"",5.45425684374621e-06
31305,74981515.4503642,43005995.3844261,2019,FALSE,1,"11651","CYP","Troödos Mountains","CYP",FALSE,"11651",TRUE,1,1,"",0.573554630446152
26,642344656.80751,33312484.3575239,2000,FALSE,1,"11651","CYP","Troödos Mountains","CYP",FALSE,"11651",TRUE,1,1,"",0.0518607635394507
26,642344656.80751,569477907.907628,2005,FALSE,1,"11651","CYP","Troödos Mountains","CYP",FALSE,"11651",TRUE,1,1,"",0.886561290535157
26,642344656.80751,0.512628292273057,2007,FALSE,2,"11651","CYP","Troödos Mountains","CYP",FALSE,"11651",TRUE,1,1,"",7.98058000234406e-10
26,642344656.80751,14673.2657431651,2008,FALSE,3,"11651","CYP","Troödos Mountains","CYP",FALSE,"11651",TRUE,1,1,"",2.28432907282082e-05
26,642344656.80751,39566546.8032832,2014,FALSE,2,"11651","CYP","Troödos Mountains","CYP",FALSE,"11651",TRUE,1,1,"",0.0615970669078673
31304,32056745.7978875,223107.794856237,1992,FALSE,1,"11651","CYP","Troödos Mountains","CYP",FALSE,"11651",TRUE,1,1,"",0.00695977677406481
31304,32056745.7978875,31833511.7020427,2007,FALSE,1,"11651","CYP","Troödos Mountains","CYP",FALSE,"11651",TRUE,1,1,"",0.993036283306725
27,170620307.85365,16578.6205758199,1992,FALSE,1,"11651","CYP","Troödos Mountains","CYP",FALSE,"11651",TRUE,1,1,"",9.71667486969969e-05
27,170620307.85365,10318269.2950313,2000,FALSE,1,"11651","CYP","Troödos Mountains","CYP",FALSE,"11651",TRUE,1,1,"",0.0604750362066031
27,170620307.85365,1061.68661953394,2005,FALSE,1,"11651","CYP","Troödos Mountains","CYP",FALSE,"11651",TRUE,1,1,"",6.22251027963568e-06
27,170620307.85365,124287042.043186,2007,FALSE,1,"11651","CYP","Troödos Mountains","CYP",FALSE,"11651",TRUE,1,1,"",0.728442256415302
27,170620307.85365,16806648.6456799,2008,FALSE,3,"11651","CYP","Troödos Mountains","CYP",FALSE,"11651",TRUE,1,1,"",0.0985032136977258
27,170620307.85365,19200698.2710177,2014,FALSE,4,"11651","CYP","Troödos Mountains","CYP",FALSE,"11651",TRUE,1,1,"",0.112534659634345
24494,104106426.214511,44551342.3358063,2004,FALSE,1,"11651","CYP","Troödos Mountains","CYP",FALSE,"11651",TRUE,1,1,"",0.427940367907823
24494,104106426.214511,25115810.6913989,2008,FALSE,2,"11651","CYP","Troödos Mountains","CYP",FALSE,"11651",TRUE,1,1,"",0.241251300276584
24494,104106426.214511,13879162.9857378,2014,FALSE,3,"11651","CYP","Troödos Mountains","CYP",FALSE,"11651",TRUE,1,1,"",0.133317063032591
24494,104106426.214511,2442.5447402042,2015,FALSE,1,"11651","CYP","Troödos Mountains","CYP",FALSE,"11651",TRUE,1,1,"",2.3461997774963e-05
31314,47903589.4927399,269803.484832395,2004,FALSE,1,"11651","CYP","Troödos Mountains","CYP",FALSE,"11651",TRUE,1,1,"",0.00563221853914069
31314,47903589.4927399,39865054.1135126,2007,FALSE,1,"11651","CYP","Troödos Mountains","CYP",FALSE,"11651",TRUE,1,1,"",0.832193464741392
31314,47903589.4927399,680.98238908955,2008,FALSE,2,"11651","CYP","Troödos Mountains","CYP",FALSE,"11651",TRUE,1,1,"",1.42156860540223e-05
