"","SitRecID","kba","ovl","year","random","nPAs","DOMAIN","range_countries","RangeName","COUNTRY","multiple_ranges","all_gmba_intersec","mountain","terrestrial","marine","freshwater","original_area","kba_note","error_note","percPA"
"102",2554,895945.275361356,731670.112594446,1964,FALSE,1,11678,"GBR","Northwest Highlands (Scotland)","GBR",FALSE,11678,0,1,0,0,1232379.95884335,NA,"",0.816645985771113
"103",2554,895945.275361356,160918.491153132,1996,FALSE,1,11678,"GBR","Northwest Highlands (Scotland)","GBR",FALSE,11678,0,1,0,0,1232379.95884335,NA,"",0.179607500121288
"104",2523,6874025.99319758,86.8505446352065,1963,FALSE,1,11678,"GBR","Northwest Highlands (Scotland)","GBR",FALSE,11678,0,1,0,1,8143563.90222138,"clipped by: 20817 ;","",1.26345964826366e-05
"105",2523,6874025.99319758,2506073.9403345,1975,FALSE,1,11678,"GBR","Northwest Highlands (Scotland)","GBR",FALSE,11678,0,1,0,1,8143563.90222138,"clipped by: 20817 ;","",0.364571496065693
"106",2523,6874025.99319758,44464.7865975214,1980,FALSE,1,11678,"GBR","Northwest Highlands (Scotland)","GBR",FALSE,11678,0,1,0,1,8143563.90222138,"clipped by: 20817 ;","",0.0064685217427928
"107",2523,6874025.99319758,1804.25059683367,2010,FALSE,1,11678,"GBR","Northwest Highlands (Scotland)","GBR",FALSE,11678,0,1,0,1,8143563.90222138,"clipped by: 20817 ;","",0.000262473636064095
"108",2521,4338990.3179789,226674.800257245,1980,FALSE,1,11678,"GBR","Northwest Highlands (Scotland)","GBR",FALSE,11678,0,1,0,1,38692436.8067938,NA,"",0.0522413703755002
"109",2521,4338990.3179789,11189.738994098,2010,FALSE,1,11678,"GBR","Northwest Highlands (Scotland)","GBR",FALSE,11678,0,1,0,1,38692436.8067938,NA,"",0.00257888083956597
"110",2512,31716281.407168,79054.6166553813,1951,FALSE,1,11678,"GBR","Northwest Highlands (Scotland)","GBR",FALSE,11678,0,1,0,1,31726881.1722223,NA,"",0.00249255628806202
"111",2512,31716281.407168,1526.03155961844,1974,FALSE,1,11678,"GBR","Northwest Highlands (Scotland)","GBR",FALSE,11678,0,1,0,1,31726881.1722223,NA,"",4.81150844901242e-05
"112",2512,31716281.407168,2649334.03279552,1977,FALSE,1,11678,"GBR","Northwest Highlands (Scotland)","GBR",FALSE,11678,0,1,0,1,31726881.1722223,NA,"",0.0835323031342748
"113",2512,31716281.407168,28986366.7265835,1980,FALSE,1,11678,"GBR","Northwest Highlands (Scotland)","GBR",FALSE,11678,0,1,0,1,31726881.1722223,NA,"",0.913927025506604
"114",2498,7197725.78282118,6524431.64808189,1971,FALSE,1,11678,"GBR","Northwest Highlands (Scotland)","GBR",FALSE,11678,0,1,0,0,19861557.1526516,NA,"",0.906457379031271
"115",2498,7197725.78282118,378697.524997694,1980,FALSE,1,11678,"GBR","Northwest Highlands (Scotland)","GBR",FALSE,11678,0,1,0,0,19861557.1526516,NA,"",0.0526134971551059
"116",2498,7197725.78282118,3.5510030136155e-05,1998,FALSE,1,11678,"GBR","Northwest Highlands (Scotland)","GBR",FALSE,11678,0,1,0,0,19861557.1526516,NA,"",4.93350694477786e-12
"117",2498,7197725.78282118,291538.328385198,1999,FALSE,1,11678,"GBR","Northwest Highlands (Scotland)","GBR",FALSE,11678,0,1,0,0,19861557.1526516,NA,"",0.0405042283051422
"118",2440,1343083.10510106,1308025.08824056,1974,FALSE,1,11678,"GBR","Northwest Highlands (Scotland)","GBR",FALSE,11678,0,1,1,0,10192275.7106139,NA,"",0.973897358452838
"119",2440,1343083.10510106,2206.0624508761,1996,FALSE,1,11678,"GBR","Northwest Highlands (Scotland)","GBR",FALSE,11678,0,1,1,0,10192275.7106139,NA,"",0.00164253607427375
"120",2440,1343083.10510106,8.33513309737161e-07,2004,FALSE,1,11678,"GBR","Northwest Highlands (Scotland)","GBR",FALSE,11678,0,1,1,0,10192275.7106139,NA,"",6.2059697316678e-13
"121",2420,5607947.32235777,5607947.32235777,1980,FALSE,1,11678,"GBR","Northwest Highlands (Scotland)","GBR",FALSE,11678,0,1,1,0,11562643.7297854,NA,"",1
"122",2685,327589.311560124,327589.311560124,1980,FALSE,1,18972,"GBR","Orkney","GBR",FALSE,18972,0,1,1,0,252511688.617407,NA,"",1
"123",2680,113181012.102433,61778530.7169704,1980,FALSE,1,18973,"GBR","Outer Hebrides","GBR",FALSE,18973,0,1,0,0,166688402.705742,NA,"",0.545838295394094
